nohup: ignoring input
🚀 系统监控Agent启动！准备建立数据库连接池...
✅ 数据库网络打通！准备开启 5 秒级轮询上报...
==================================================
✅ 识别到本机的物理核载名: xiu-virtual-machine
[19:52:57] 📡 成功上报 -> 内存: 45.05% | CPU: 0.51%
[19:53:02] 📡 成功上报 -> 内存: 45.05% | CPU: 0.00%
[19:53:07] 📡 成功上报 -> 内存: 45.05% | CPU: 0.00%
[19:53:12] 📡 成功上报 -> 内存: 45.05% | CPU: 0.00%
[19:53:17] 📡 成功上报 -> 内存: 45.05% | CPU: 0.51%
[19:53:22] 📡 成功上报 -> 内存: 45.05% | CPU: 1.01%
[19:53:27] 📡 成功上报 -> 内存: 45.05% | CPU: 0.51%
[19:53:32] 📡 成功上报 -> 内存: 45.05% | CPU: 0.00%
[19:53:37] 📡 成功上报 -> 内存: 45.05% | CPU: 0.00%
[19:53:42] 📡 成功上报 -> 内存: 45.05% | CPU: 1.01%
[19:53:47] 📡 成功上报 -> 内存: 45.05% | CPU: 0.51%
[19:53:52] 📡 成功上报 -> 内存: 45.04% | CPU: 0.00%
[19:53:57] 📡 成功上报 -> 内存: 45.04% | CPU: 0.00%
[19:54:02] 📡 成功上报 -> 内存: 45.04% | CPU: 0.00%
[19:54:07] 📡 成功上报 -> 内存: 45.04% | CPU: 0.51%
[19:54:12] 📡 成功上报 -> 内存: 45.04% | CPU: 1.03%
[19:54:17] 📡 成功上报 -> 内存: 45.05% | CPU: 0.51%
[19:54:22] 📡 成功上报 -> 内存: 45.04% | CPU: 0.00%
[19:54:27] 📡 成功上报 -> 内存: 45.05% | CPU: 0.00%
[19:54:32] 📡 成功上报 -> 内存: 45.04% | CPU: 0.00%
[19:54:37] 📡 成功上报 -> 内存: 45.04% | CPU: 0.00%
[19:54:43] 📡 成功上报 -> 内存: 45.04% | CPU: 0.00%
[19:54:47] 📡 成功上报 -> 内存: 45.04% | CPU: 0.00%
[19:54:52] 📡 成功上报 -> 内存: 45.04% | CPU: 0.00%
[19:54:57] 📡 成功上报 -> 内存: 45.04% | CPU: 0.00%
[19:55:02] 📡 成功上报 -> 内存: 45.04% | CPU: 0.00%
[19:55:07] 📡 成功上报 -> 内存: 45.04% | CPU: 0.51%
[19:55:12] 📡 成功上报 -> 内存: 45.04% | CPU: 0.00%
[19:55:17] 📡 成功上报 -> 内存: 45.03% | CPU: 0.51%
[19:55:22] 📡 成功上报 -> 内存: 45.03% | CPU: 1.01%
[19:55:27] 📡 成功上报 -> 内存: 45.11% | CPU: 32.02%
[19:55:32] 📡 成功上报 -> 内存: 45.66% | CPU: 1.52%
[19:55:37] 📡 成功上报 -> 内存: 45.66% | CPU: 1.01%
[19:55:42] 📡 成功上报 -> 内存: 45.78% | CPU: 0.00%
[19:55:47] 📡 成功上报 -> 内存: 45.78% | CPU: 0.00%
[19:55:52] 📡 成功上报 -> 内存: 45.77% | CPU: 0.00%
[19:55:57] 📡 成功上报 -> 内存: 45.77% | CPU: 4.10%
